Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
82,Montrezl Harrell,C,25,LAC,6,158,26.7,.739,.016,.413,8.0,15.8,11.6,15.3,0.9,2.1,9.7,21.7,,0.7,-0.1,0.6,.191,,5.2,0.5,5.7,0.3,2019,True
83,Gary Harris,SG,24,DEN,14,517,13.5,.569,.361,.241,1.8,10.1,5.9,9.3,1.2,1.2,5.9,16.1,,0.8,0.2,1.1,.099,,-1.1,0.8,-0.3,0.2,2019,True
84,Joe Harris,SG,27,BRK,5,149,5.1,.473,.488,.186,3.8,11.2,7.2,2.9,0.9,0.0,16.2,15.2,,-0.2,0.0,-0.2,-0.061,,-4.8,-2.5,-7.3,-0.2,2019,True
85,Tobias Harris,PF,26,PHI,12,443,14.5,.521,.377,.156,3.1,22.8,13.5,16.4,1.4,1.2,10.1,19.0,,0.4,0.7,1.0,.111,,1.2,1.3,2.5,0.5,2019,True
86,Isaiah Hartenstein,PF,20,HOU,2,2,98.5,1.000,.000,.000,58.2,0.0,28.2,0.0,0.0,0.0,0.0,44.4,,0.1,0.0,0.1,1.591,,23.6,2.2,25.8,0.0,2019,True
87,Gordon Hayward,PF,28,BOS,9,267,9.9,.549,.343,.271,1.2,12.1,6.9,13.0,1.1,1.1,15.2,15.3,,0.0,0.4,0.4,.075,,-1.4,0.6,-0.8,0.1,2019,True
88,Juancho Hernangómez,PF,23,DEN,5,15,-0.2,.500,.667,.000,0.0,21.4,10.5,0.0,0.0,0.0,25.0,11.9,,0.0,0.0,0.0,-0.067,,-7.8,-1.7,-9.5,0.0,2019,True
89,Nenê,C,36,HOU,7,53,31.1,.967,.000,.900,19.8,10.3,14.9,9.8,2.8,3.5,17.7,14.2,,0.3,0.1,0.4,.373,,7.0,4.0,11.0,0.2,2019,True
90,George Hill,PG,32,MIL,15,395,18.2,.653,.407,.280,4.0,9.3,6.7,16.2,1.5,0.9,4.3,15.1,,1.3,0.6,1.9,.227,,2.0,3.1,5.2,0.7,2019,True
91,Aaron Holiday,PG,22,IND,3,13,-1.3,.500,.400,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,21.3,,0.0,0.0,0.0,-0.109,,-7.7,-2.9,-10.6,0.0,2019,True
92,Rondae Hollis-Jefferson,SF,24,BRK,4,62,29.2,.602,.030,.758,4.6,16.2,9.9,17.9,0.7,5.8,6.4,30.9,,0.3,0.0,0.3,.214,,4.2,2.6,6.8,0.1,2019,True
93,Rodney Hood,SG,26,POR,16,373,14.0,.606,.459,.396,2.6,7.7,5.1,5.7,0.8,0.7,5.1,16.0,,0.8,0.1,0.9,.115,,0.5,0.2,0.8,0.2,2019,True
94,Al Horford,C,32,BOS,9,310,14.2,.530,.400,.164,4.5,21.4,13.3,21.7,0.6,2.1,13.9,19.5,,0.1,0.5,0.6,.100,,1.5,1.3,2.8,0.4,2019,True
95,Danuel House Jr.,SF,25,HOU,7,141,4.0,.420,.838,.216,1.7,15.5,8.8,1.0,1.1,1.3,9.0,14.0,,-0.2,0.1,0.0,-0.016,,-3.9,-1.5,-5.4,-0.1,2019,True
96,Serge Ibaka,C,29,TOR,24,500,15.1,.532,.197,.218,7.7,23.9,15.8,7.4,1.1,4.5,10.6,21.5,,0.2,1.0,1.2,.113,,-1.6,1.2,-0.4,0.2,2019,True
97,Andre Iguodala,SF,35,GSW,21,629,15.3,.565,.482,.223,5.1,11.4,8.3,18.4,1.9,3.6,10.3,14.1,,1.0,0.5,1.5,.113,,1.7,2.0,3.7,0.9,2019,True
98,Ersan İlyasova,PF,31,MIL,15,272,15.2,.554,.494,.309,7.7,18.1,13.1,11.2,1.8,2.0,7.1,15.7,,0.5,0.5,1.0,.183,,0.0,2.8,2.8,0.3,2019,True
99,Joe Ingles,PF,31,UTA,5,151,9.6,.432,.784,.000,2.0,15.2,8.3,25.8,3.6,0.0,17.8,12.7,,-0.1,0.2,0.1,.039,,-2.9,3.4,0.5,0.1,2019,True
100,Kyrie Irving,PG,26,BOS,9,330,15.5,.488,.324,.223,1.6,10.1,6.0,35.8,1.9,1.1,12.5,30.1,,-0.2,0.5,0.4,.055,,2.1,0.3,2.5,0.4,2019,True
101,Jonathan Isaac,PF,21,ORL,5,137,6.2,.379,.500,.200,7.4,18.0,12.3,2.5,0.7,3.4,10.3,15.7,,-0.2,0.1,-0.1,-0.043,,-3.6,-0.5,-4.1,-0.1,2019,True
102,Wes Iwundu,SF,24,ORL,5,60,12.9,.546,.500,.500,0.0,13.7,6.4,11.7,2.5,0.0,8.3,17.7,,0.1,0.1,0.1,.089,,-0.1,2.6,2.6,0.1,2019,True
103,Reggie Jackson,PG,28,DET,4,108,21.4,.521,.323,.108,4.1,8.6,6.1,49.7,1.3,0.0,6.8,28.5,,0.2,-0.1,0.1,.066,,6.7,-0.3,6.4,0.2,2019,True
104,Jonas Jerebko,PF,31,GSW,16,121,10.6,.381,.452,.143,14.7,17.6,16.2,13.2,0.4,1.6,4.3,16.8,,0.1,0.0,0.1,.043,,-0.7,-2.4,-3.1,0.0,2019,True
105,Amir Johnson,C,31,PHI,4,20,24.3,1.000,.000,.000,17.1,10.3,13.5,16.1,2.4,0.0,20.0,10.6,,0.1,0.0,0.1,.274,,5.5,3.1,8.5,0.1,2019,True
106,Nikola Jokić,C,23,DEN,14,557,29.6,.596,.215,.299,10.0,24.5,17.2,37.1,1.5,1.8,10.9,26.6,,2.4,0.6,3.0,.259,,8.3,3.3,11.6,1.9,2019,True
107,Damian Jones,C,23,GSW,4,8,2.7,.798,.000,2.000,0.0,28.0,14.4,0.0,0.0,0.0,34.7,15.7,,0.0,0.0,0.0,-0.025,,-12.3,-0.4,-12.7,0.0,2019,True
108,Cory Joseph,PG,27,IND,4,85,12.9,.603,.375,.083,1.2,8.5,4.5,8.5,1.8,0.0,0.0,13.5,,0.1,0.1,0.2,.137,,-0.7,2.8,2.1,0.1,2019,True
109,Luke Kennard,SG,22,DET,4,133,14.0,.604,.319,.128,0.0,14.0,6.0,8.7,1.1,0.7,5.7,16.7,,0.2,-0.1,0.1,.035,,1.3,-0.7,0.6,0.1,2019,True
110,Furkan Korkmaz,SG,21,PHI,4,36,12.2,.470,.444,.278,0.0,17.2,9.0,21.2,0.0,2.5,4.7,25.0,,0.0,0.0,0.1,.088,,-1.3,-0.1,-1.4,0.0,2019,True
111,Kyle Korver,SG,37,UTA,4,30,4.4,.536,.750,.375,3.4,14.5,8.8,0.0,0.0,0.0,9.7,14.7,,0.0,0.0,0.0,.022,,-5.1,-1.0,-6.1,0.0,2019,True
112,Rodions Kurucs,SF,20,BRK,4,68,12.5,.522,.400,.450,8.4,23.0,15.1,6.5,1.4,0.0,7.7,15.5,,0.1,0.0,0.1,.076,,-1.9,-0.3,-2.2,0.0,2019,True
